t,f_spd0,r_spd0,f_spd1,r_spd1,f_spd2,r_spd2,cra,crb,Tc,Vpz,Vms,gamma_dot,tau,mu_en_bal,mu_current_relation
1507719167.64,644.967,376.376,401.843,404.312,403.43,402.437,2.581,0.0,-1.92931530201e-05,0.0,0.35470004786,150.06579604,-414.448343445,1.30816278334e-05,-2.76177752947
1507719167.65,644.967,376.376,401.843,404.312,397.753,396.742,2.561,0.032,-1.69910202041e-05,0.0838709677419,0.352453696086,149.270421165,-364.994781813,1.31877860953e-05,-2.44519161241
1507719167.66,408.897,535.717,384.436,400.503,397.753,396.742,2.545,0.006,-1.4742420149e-05,0.0645161290323,0.350264130031,148.471193089,-316.691191056,1.3296509934e-05,-2.13301438796
1507719167.68,408.897,535.717,384.436,400.503,397.753,396.742,2.565,0.0,-1.25469608753e-05,0.0,0.348132354748,147.668136082,-269.529150814,1.34079611028e-05,-1.82523568025
1507719167.69,408.897,542.591,384.436,400.503,389.965,396.742,2.571,0.048,-1.04042359313e-05,0.132258064516,0.346059359531,146.861278202,-223.499929848,1.35223060457e-05,-1.52184382831
1507719167.7,517.653,542.591,399.861,387.596,389.965,388.923,2.535,0.0,-8.31381892793e-06,0.0,0.344046118124,146.050651138,-178.594368624,1.36397162319e-05,-1.22282487091
1507719167.71,517.653,542.591,399.861,387.596,389.965,388.923,2.552,0.055,-6.27527141726e-06,0.135483870968,0.342093588244,145.236291017,-134.803048566,1.37603679838e-05,-0.928163667784
1507719167.72,517.653,542.591,399.861,387.596,389.965,388.923,2.581,0.0,-4.28816332801e-06,0.0129032258065,0.340202710447,144.418239679,-92.1167310428,1.3884441876e-05,-0.637846931574
1507719167.73,387.138,542.591,391.871,389.61,390.41,390.829,2.552,0.01,-2.35206030711e-06,0.0225806451613,0.3383744076,143.596545428,-50.5260854435,1.40121230148e-05,-0.351861427396
1507719167.75,387.138,404.879,391.871,389.61,390.41,390.829,2.574,0.032,-4.66495065104e-07,0.1,0.33660958532,142.771262481,-10.0210736294,1.41436020022e-05,-0.0701897108372
1507719167.76,387.138,404.879,391.871,389.61,390.41,390.829,2.542,0.0,1.36903581038e-06,0.0,0.334909132376,141.942449205,29.4091185167,1.42790755684e-05,0.207190440079
1507719167.77,387.138,404.879,391.871,389.61,376.376,375.13,2.558,0.058,3.15505356758e-06,0.151612903226,0.333273920093,141.1101663,67.775688256,1.44187466939e-05,0.480303368872
1507719167.78,677.871,706.31,358.124,374.131,376.376,375.13,2.571,0.0,4.8920819495e-06,0.0,0.331704801091,140.274476726,105.089886441,1.45628244364e-05,0.749173255847
1507719167.79,677.871,1304.469,358.124,374.131,376.376,375.13,2.552,0.039,6.58065257795e-06,0.0935483870968,0.330202608959,139.435449821,141.363133174,1.47115234194e-05,1.0138249158
1507719167.81,677.871,1304.469,358.124,374.131,376.376,375.13,2.561,0.003,8.22131554143e-06,0.058064516129,0.32876815921,138.593170158,176.607245251,1.48650624201e-05,1.27428534213
1507719167.82,369.594,677.229,387.036,368.234,355.882,368.804,2.565,0.0,9.81463716232e-06,0.0,0.327402249552,137.747745271,210.8343882,1.50236626796e-05,1.53058322505
1507719167.83,369.594,677.229,387.036,368.234,355.882,368.804,2.571,0.048,1.13612028467e-05,0.132258064516,0.326105658841,136.899304724,244.057137497,1.51875480102e-05,1.78274928415
1507719167.84,369.594,677.229,387.036,368.234,355.882,368.804,2.558,0.0,1.28616302011e-05,0.0,0.324879146006,136.047992678,276.288760335,1.53569466209e-05,2.03081835238
1507719167.85,369.594,426.913,387.036,368.234,376.128,361.063,2.574,0.058,1.43165750374e-05,0.138709677419,0.32372344959,135.193962074,307.543344619,1.55320925818e-05,2.27483047246
1507719167.86,369.594,426.913,359.282,368.234,376.128,361.063,2.542,0.0,1.57267260617e-05,0.0129032258065,0.32263928792,134.337372014,337.835684884,1.57132264088e-05,2.5148302354
1507719167.88,369.594,426.913,359.282,368.234,376.128,361.063,2.558,0.0,1.70927880559e-05,0.0,0.32162735859,133.478385729,367.180920986,1.59005952261e-05,2.75086426151
1507719167.89,369.594,417.873,359.282,237.308,376.128,361.063,2.535,0.052,1.84154551793e-05,0.138709677419,0.320688336304,132.617168986,395.5939646,1.6094452498e-05,2.98297699782
1507719167.9,369.594,417.873,359.282,237.308,350.271,361.063,2.539,0.0,1.96953831844e-05,0.0,0.319822871655,131.753888984,423.088902359,1.62950576458e-05,3.21120617858
1507719167.91,369.594,577.166,359.282,237.308,350.271,278.385,2.542,0.048,2.09331659577e-05,0.129032258065,0.319031592798,130.888713327,449.678491909,1.65026758927e-05,3.43557882478
1507719167.92,146.095,577.166,359.282,237.308,350.271,278.385,2.561,0.0,2.2129329419e-05,0.0258064516129,0.318315107095,130.021809384,475.374030865,1.67175784665e-05,3.65610994892
1507719167.94,146.095,577.166,359.282,237.308,361.287,490.054,2.552,0.003,2.32843515946e-05,0.0,0.317674000128,129.153343941,500.185788012,1.69400433178e-05,3.87280555618
1507719167.95,146.095,577.166,177.572,405.537,361.287,490.054,2.519,0.039,2.43986783106e-05,0.11935483871,0.317108833395,128.28348326,524.123340418,1.71703555628e-05,4.0856650217
1507719167.96,146.095,444.039,177.572,405.537,361.287,490.054,2.565,0.0,2.54727068269e-05,0.0,0.316620142296,127.41239394,547.195221875,1.74088068291e-05,4.29467813101
1507719167.97,146.095,444.039,177.572,405.537,361.287,490.054,2.555,0.048,2.65067746727e-05,0.116129032258,0.316208435384,126.540243345,569.408683057,1.76556948606e-05,4.49982288642
1507719167.99,146.095,592.6,342.005,405.537,342.96,341.942,2.594,0.0,2.7501194428e-05,0.041935483871,0.315874194559,125.667199206,590.770438694,1.79113246923e-05,4.70107110231
1507719168.0,146.095,592.6,342.005,337.177,342.96,341.942,2.581,0.0,2.84563148168e-05,0.0,0.315617874911,124.793429926,611.287979943,1.81760104512e-05,4.89839874026
1507719168.01,146.095,592.6,342.005,337.177,342.96,341.942,2.581,0.042,2.93725697452e-05,0.122580645161,0.315439904204,123.91910566,630.970627817,1.84500766677e-05,5.09179455788
1507719168.02,146.095,373.358,342.005,337.177,342.96,341.942,2.555,0.0,3.02504889925e-05,0.0,0.315340682327,123.044398592,649.829762834,1.87338587424e-05,5.28126245704
1507719168.03,146.095,373.358,334.992,337.929,328.494,334.561,2.545,0.061,3.10906644558e-05,0.151612903226,0.315320581694,122.169481699,667.87809991,1.90277026025e-05,5.46681618538
1507719168.04,146.095,373.358,334.992,337.929,328.494,334.561,2.542,0.0,3.18936940753e-05,0.0,0.315379947601,121.294526786,685.128483774,1.93319638621e-05,5.64846990158
1507719168.06,146.095,373.358,334.992,337.929,328.494,334.561,2.526,0.029,3.26601311719e-05,0.0612903225806,0.315519095972,120.419703229,701.59280066,1.96470066977e-05,5.82622927849
1507719168.07,146.095,373.358,334.992,337.929,342.303,334.561,2.558,0.016,3.3390453823e-05,0.0774193548387,0.315738310087,119.545177833,717.281320448,1.99732028235e-05,6.0000857705
1507719168.08,146.095,373.358,333.801,334.382,342.303,335.369,2.581,0.0,3.40850732987e-05,0.0,0.316037839232,118.671115215,732.202877891,2.03109315695e-05,6.17001767082
1507719168.09,146.095,332.904,333.801,334.382,342.303,335.369,2.548,0.055,3.47443820309e-05,0.141935483871,0.316417900233,117.797678194,746.365903063,2.06605814379e-05,6.33599842125
1507719168.1,817.975,332.904,333.801,334.382,342.303,335.369,2.523,0.0,3.53687776135e-05,0.0,0.316878680251,116.925028977,759.778936929,2.10225507756e-05,6.49800084359
1507719168.11,817.975,332.904,333.801,334.382,322.069,335.369,2.574,0.048,3.59586301835e-05,0.122580645161,0.317420337285,116.053333242,772.449930637,2.1397245301e-05,6.65599090571
1507719168.13,817.975,332.904,321.152,320.158,322.069,321.014,2.539,0.0,3.65142586455e-05,0.0258064516129,0.318042997736,115.182766256,784.385734775,2.17850746057e-05,6.80992270171
1507719168.14,817.975,386.897,321.152,320.158,322.069,321.014,2.539,0.003,3.70359392987e-05,0.0,0.318746752708,114.313516948,795.592284699,2.21864499958e-05,6.95973937239
1507719168.15,817.975,386.897,321.152,320.158,322.069,321.014,2.571,0.039,3.75239059636e-05,0.112903225806,0.319531656178,113.445789116,806.074603256,2.26017829625e-05,7.10537261489
1507719168.16,817.975,386.897,321.152,320.158,316.303,321.014,2.555,0.0,3.79783557139e-05,0.0,0.320397726618,112.579801981,815.83692391,2.30314841642e-05,7.24674328393
1507719168.17,204.253,512.384,315.782,315.113,316.303,315.896,2.571,0.061,3.83994772921e-05,0.158064516129,0.321344947252,111.715789991,824.883301154,2.34759633206e-05,7.3837664418
1507719168.18,204.253,512.384,315.782,315.113,316.303,315.896,2.574,0.0,3.87874770493e-05,0.0,0.322373263743,110.854000089,833.218167751,2.39356298867e-05,7.51635635236
1507719168.2,204.253,512.384,315.782,315.113,316.303,315.896,2.587,0.032,3.91426021819e-05,0.0709677419355,0.323482583487,109.99468736,840.846833877,2.44108945967e-05,7.64443132716
1507719168.21,204.253,382.573,315.782,315.113,316.303,315.896,2.59,0.013,3.94651723176e-05,0.0741935483871,0.324672776178,109.138112065,847.776165659,2.49021710905e-05,7.76792038658
1507719168.22,204.253,382.573,308.736,315.113,301.72,308.438,2.561,0.0,3.97556027249e-05,0.0,0.325943674013,108.284538353,854.015083738,2.54098766467e-05,7.88676847798
1507719168.23,290.5,382.573,308.736,296.115,301.72,308.438,2.545,0.055,4.00143886805e-05,0.141935483871,0.327295071216,107.434233337,859.574227467,2.59344312233e-05,8.00093416009
1507719168.24,290.5,382.573,308.736,296.115,301.72,308.438,2.59,0.0,4.02420612979e-05,0.0,0.328726721912,106.587466769,864.465006026,2.64762547734e-05,8.11038138187
1507719168.25,290.5,382.573,308.736,296.115,301.72,308.438,2.6,0.052,4.04391825549e-05,0.125806451613,0.330238337316,105.744511631,868.699491614,2.70357654296e-05,8.21507876122
1507719168.27,290.5,382.573,307.535,296.115,316.644,309.011,2.587,0.0,4.06063988961e-05,0.0258064516129,0.331829583543,104.905644857,872.291570915,2.76133800253e-05,8.315010809
1507719168.28,322.109,306.541,307.535,319.754,316.644,309.011,2.552,0.006,4.07444771712e-05,0.0,0.333500080675,104.071147837,875.257717107,2.82095141587e-05,8.41018606308
1507719168.29,322.109,306.541,307.535,319.754,316.644,309.011,2.545,0.035,4.08542677611e-05,0.112903225806,0.335249402484,103.241306748,877.616197759,2.88245791179e-05,8.5006304686
1507719168.3,322.109,306.541,307.535,319.754,316.644,309.011,2.574,0.0,4.09366386885e-05,0.0,0.337077073562,102.416412788,879.385659412,2.94589769289e-05,8.58637434639
1507719168.31,322.109,306.541,307.535,319.754,296.133,295.119,2.539,0.058,4.09924457756e-05,0.154838709677,0.338982565758,101.596762347,880.584486517,3.01130965133e-05,8.66744634552
1507719168.32,322.109,306.541,290.467,294.169,296.133,295.119,2.555,0.0,4.10225291605e-05,0.0,0.340965298076,100.782657024,881.230726611,3.07873111418e-05,8.74387273202
1507719168.34,322.109,396.847,290.467,294.169,296.133,295.119,2.516,0.032,4.10276932513e-05,0.0709677419355,0.343024636881,99.9744035151,881.341659692,3.14819749575e-05,8.81567309935
1507719168.35,322.109,396.847,290.467,294.169,296.133,295.119,2.519,0.016,4.10086625328e-05,0.0774193548387,0.345159895785,99.1723138868,880.932848868,3.21974176613e-05,8.88285060963
1507719168.36,322.109,396.847,290.467,294.169,296.133,295.119,2.548,0.0,4.09660383291e-05,0.0,0.347370337393,98.3767064175,880.017211565,3.29339384902e-05,8.94538192639
1507719168.37,271.503,435.401,294.169,294.169,277.157,289.738,2.577,0.052,4.09003048554e-05,0.145161290323,0.349655172454,97.5879063589,878.60514951,3.36918019736e-05,9.0032175327
1507719168.38,271.503,435.401,294.169,281.146,277.157,289.738,2.577,0.0,4.08118984826e-05,0.0,0.352013556404,96.8062461708,876.706036665,3.44712369028e-05,9.05629617244
1507719168.39,271.503,435.401,294.169,281.146,277.157,289.738,2.558,0.045,4.07012797816e-05,0.112903225806,0.354444588113,96.0320654529,874.329766836,3.5272436062e-05,9.10456067682
1507719168.41,271.503,343.934,294.169,281.146,277.157,289.738,2.542,0.0,4.05689475018e-05,0.041935483871,0.356947308612,95.2657107935,871.487053979,3.60955529911e-05,9.14796149338
1507719168.42,271.503,343.934,294.169,281.146,297.147,282.78,2.597,0.0,4.04154139678e-05,0.0,0.35952069918,94.5075354036,868.188903658,3.69406964786e-05,9.1864516406
1507719168.43,279.845,343.934,278.35,289.743,297.147,282.78,2.535,0.042,4.02412014188e-05,0.125806451613,0.36216368097,93.7578986387,864.446534422,3.78079261732e-05,9.21998623021
1507719168.44,279.845,640.887,278.35,289.743,297.147,282.78,2.516,0.0,4.00468368856e-05,0.0,0.364875112679,93.0171663224,860.27126775,3.86972470368e-05,9.24852155535
1507719168.45,279.845,640.887,278.35,289.743,297.147,282.78,2.561,0.058,3.98328001274e-05,0.148387096774,0.367653786608,92.2857128264,855.673409651,3.96085988261e-05,9.27200303758
1507719168.46,279.845,640.887,278.35,289.743,297.147,282.78,2.571,0.0,3.9599492985e-05,0.0,0.370498427224,91.5639241403,850.66159232,4.05418452992e-05,9.29035753226
1507719168.48,279.845,640.887,285.817,289.743,278.185,282.315,2.568,0.023,3.93472838912e-05,0.0451612903226,0.373407689734,90.8521999775,845.243730292,4.14967681795e-05,9.3035031678
1507719168.49,275.275,294.227,285.817,276.218,278.185,282.315,2.568,0.023,3.90765629163e-05,0.0903225806452,0.37638015832,90.1509538851,839.428202915,4.24730634216e-05,9.31136240648
1507719168.5,275.275,294.227,285.817,276.218,278.185,282.315,2.577,0.0,3.87877617164e-05,0.0,0.379414347228,89.4606111681,833.224282862,4.3470337742e-05,9.31386754442
1507719168.51,275.275,294.227,285.817,276.218,278.185,282.315,2.571,0.058,3.84813609262e-05,0.148387096774,0.382508700901,88.7816057206,826.642294952,4.44881056246e-05,9.310963552
