t,dr,cr,cr2a,cr2b,pv,fdr,fcr
1491855437.880288, 0.915, 1.798, 2.552, 2.588, 30, 0.915, 1.798 
1491855437.980952, 0.670, 1.821, 2.668, 2.630, 30, 0.670, 1.821 
1491855438.081612, 0.793, 1.850, 2.649, 2.652, 30, 0.793, 1.850 
1491855438.182278, 0.918, 1.850, 2.552, 2.552, 30, 0.918, 1.850 
1491855438.282947, 1.051, 1.805, 2.568, 2.556, 30, 1.051, 1.805 
1491855438.383645, 0.793, 1.805, 2.604, 2.639, 30, 0.793, 1.805 
1491855438.484317, 0.851, 1.866, 2.649, 2.681, 31, 0.851, 1.866 
1491855438.585099, 0.935, 1.834, 2.639, 2.633, 31, 0.935, 1.834 
1491855438.685820, 1.321, 1.830, 2.655, 2.649, 31, 1.321, 1.830 
1491855438.786480, 1.134, 1.830, 2.704, 2.655, 31, 1.134, 1.830 
1491855438.887145, 1.005, 1.847, 2.672, 2.668, 31, 1.005, 1.847 
1491855438.987806, 0.838, 1.843, 2.630, 2.665, 31, 0.838, 1.843 
1491855439.088470, 0.844, 1.840, 2.649, 2.655, 31, 0.844, 1.840 
1491855439.189133, 1.076, 1.840, 2.691, 2.655, 31, 1.076, 1.840 
1491855439.289919, 0.912, 1.850, 2.672, 2.668, 31, 0.912, 1.850 
1491855439.390589, 0.728, 1.859, 2.684, 2.678, 31, 0.728, 1.859 
1491855439.491257, 0.722, 1.856, 2.597, 2.575, 32, 0.722, 1.856 
1491855439.592033, 0.841, 1.824, 2.630, 2.617, 32, 0.841, 1.824 
1491855439.692698, 1.028, 1.805, 2.552, 2.562, 32, 1.028, 1.805 
1491855439.793363, 1.005, 1.808, 2.575, 2.597, 32, 1.005, 1.808 
1491855439.894027, 0.748, 1.818, 2.597, 2.601, 32, 0.748, 1.818 
1491855439.994689, 0.925, 1.850, 2.675, 2.684, 32, 0.925, 1.850 
1491855440.095353, 0.999, 1.824, 2.639, 2.639, 32, 0.999, 1.824 
1491855440.196083, 1.289, 1.795, 2.581, 2.575, 32, 1.289, 1.795 
1491855440.296749, 1.054, 1.805, 2.617, 2.562, 32, 1.054, 1.805 
1491855440.397419, 0.883, 1.818, 2.630, 2.617, 32, 0.883, 1.818 
1491855440.498093, 0.870, 1.824, 2.617, 2.565, 33, 0.870, 1.824 
1491855440.598881, 0.844, 1.808, 2.588, 2.633, 33, 0.844, 1.808 
