t,dr,cr,pr
1488983983,1.283,2.371875,64
1488983983,1.444,2.562011719,64
1488983983,1.325,2.545898438,64
1488983983,1.463,2.50078125,64
1488983983,1.308,2.465332031,64
1488983984,1.447,2.578125,64
1488983984,1.66,2.381542969,64
1488983984,1.289,2.339648438,64
1488983984,1.569,2.471777344,64
1488983984,1.64,2.400878906,64
1488983984,1.963,2.297753906,64
1488983984,1.499,2.310644531,64
1488983984,1.54,2.291308594,64
1488983984,1.544,2.278417969,64
1488983984,1.547,2.252636719,64
1488983985,1.737,2.26875,64
1488983985,1.566,2.281640625,64
1488983985,1.624,2.262304688,64
1488983985,1.444,2.288085938,64
1488983985,1.666,2.3203125,64
1488983985,1.547,2.288085938,64
1488983985,1.653,2.355761719,64
1488983985,1.573,2.462109375,64
1488983985,1.84,2.436328125,64
1488983985,1.357,2.4234375,64
1488983986,1.466,2.381542969,64
1488983986,1.624,2.34609375,64
1488983986,1.776,2.307421875,64
1488983986,1.573,2.278417969,64
1488983986,1.434,2.278417969,64
1488983986,1.486,2.307421875,64
1488983986,1.315,2.355761719,64
1488983986,1.727,2.381542969,64
1488983986,1.705,2.410546875,64
1488983986,1.598,2.4234375,64
1488983987,1.557,2.462109375,64
1488983987,1.843,2.349316406,64
1488983987,1.237,2.329980469,64
1488983987,1.705,2.313867188,64
1488983987,1.689,2.29453125,64
1488983987,1.75,2.281640625,64
1488983987,1.557,2.278417969,64
1488983987,1.489,2.278417969,64
1488983987,1.305,2.26875,64
1488983987,1.453,2.265527344,64
1488983988,1.805,2.252636719,64
1488983988,1.644,2.288085938,64
1488983988,1.495,2.278417969,64
1488983988,1.566,2.262304688,64
