t,dr,cr,cr2a,cr2b,pv,fdr,fcr,T,Vpz1,Vpz2,Vpzbg,Vadcbg
1502799558.255373, 0.735, 0.780, 1.502, 1.502, 0, 0.735, 0.780, 0.000, 0.1998046875, 0.0064453125, 0.0064453125, 0.012890625 
1502799558.357142, 0.052, 0.854, 1.624, 1.598, 49, 0.052, 0.854, 0.000, 0.64453125, 0.012890625, 0.0064453125, 0.0064453125 
1502799558.459268, 0.151, 0.873, 1.605, 1.595, 98, 0.151, 0.873, 0.000, 0.6509765625, 0.04189453125, 0.01611328125, 0.02578125 
1502799558.561360, 0.068, 0.822, 1.576, 1.560, 75, 0.068, 0.822, 0.000, 0.63486328125, 0.05478515625, 0.03544921875, 0.0322265625 
1502799558.663227, 0.142, 0.754, 1.492, 1.492, 59, 0.142, 0.754, 0.000, 0.64453125, 0.02578125, 0.01611328125, 0.012890625 
1502799558.765009, 0.068, 0.754, 1.470, 1.470, 0, 0.068, 0.754, 0.000, 0.63486328125, 0.02578125, 0.0, 0.0 
1502799558.866708, 0.029, 0.854, 0.851, 1.644, 110, 0.029, 0.854, 0.000, 0.68642578125, 0.02900390625, 0.0064453125, 0.00322265625 
1502799558.968710, 0.648, 0.754, 1.473, 1.473, 37, 0.648, 0.754, 0.000, 0.6767578125, 0.04189453125, 0.02578125, 0.02578125 
1502799559.070812, 0.790, 0.802, 1.563, 1.540, 76, 0.790, 0.802, 0.000, 0.708984375, 0.01611328125, 0.0064453125, 0.0064453125 
1502799559.172582, 0.151, 0.754, 1.473, 1.473, 39, 0.151, 0.754, 0.000, 0.683203125, 0.02900390625, 0.012890625, 0.01611328125 
1502799559.274318, 0.013, 0.857, 1.647, 1.637, 128, 0.013, 0.857, 0.000, 0.72509765625, 0.0580078125, 0.02578125, 0.01611328125 
1502799559.388457, 0.180, 0.754, 1.473, 1.470, 0, 0.180, 0.754, 0.000, 0.7154296875, 0.02900390625, 0.01611328125, 0.01611328125 
1502799559.490724, 0.074, 0.754, 1.476, 1.470, 0, 0.074, 0.754, 0.000, 0.708984375, 0.02578125, 0.0064453125, 0.0064453125 
1502799559.593002, 0.013, 0.754, 1.473, 1.473, 0, 0.013, 0.754, 0.000, 0.708984375, 0.0064453125, 0.00322265625, 0.0064453125 
1502799559.694936, 0.648, 0.754, 1.473, 1.457, 0, 0.648, 0.754, 0.000, 0.708984375, 0.0064453125, 0.00322265625, 0.00322265625 
1502799559.796756, 0.006, 0.767, 1.473, 1.473, 0, 0.006, 0.767, 0.000, 0.708984375, 0.00322265625, 0.00322265625, 0.0 
1502799559.898633, 0.780, 0.780, 1.492, 1.492, 0, 0.780, 0.780, 0.000, 0.708984375, 0.00322265625, 0.0064453125, 0.0064453125 
1502799560.000406, 0.013, 0.777, 1.508, 1.492, 0, 0.013, 0.777, 0.000, 0.69931640625, 0.0, 0.0, 0.0 
1502799560.102099, 0.709, 0.780, 1.518, 1.502, 0, 0.709, 0.780, 0.000, 0.69287109375, 0.0, 0.0, 0.00322265625 
1502799560.203789, 0.029, 0.780, 1.492, 1.489, 0, 0.029, 0.780, 0.000, 0.68642578125, 0.0, 0.0, 0.0 
1502799560.306280, 0.161, 0.780, 1.511, 1.511, 0, 0.161, 0.780, 0.000, 0.69287109375, 0.00322265625, 0.00322265625, 0.00322265625 
1502799560.407945, 0.645, 0.777, 1.511, 1.489, 0, 0.645, 0.777, 0.000, 0.683203125, 0.00322265625, 0.00322265625, 0.0064453125 
1502799560.509466, 0.081, 0.780, 1.511, 1.534, 0, 0.081, 0.780, 0.000, 0.69287109375, 0.00322265625, 0.00322265625, 0.00322265625 
1502799560.611090, 0.751, 0.780, 1.492, 1.489, 0, 0.751, 0.780, 0.000, 0.68642578125, 0.00322265625, 0.0064453125, 0.012890625 
1502799560.712519, 0.013, 0.780, 1.492, 1.492, 0, 0.013, 0.780, 0.000, 0.68642578125, 0.00322265625, 0.0064453125, 0.00322265625 
1502799560.813882, 0.777, 0.780, 1.511, 1.502, 0, 0.777, 0.780, 0.000, 0.68642578125, 0.0064453125, 0.0064453125, 0.01611328125 
1502799560.915142, 0.016, 0.780, 1.502, 1.502, 0, 0.016, 0.780, 0.000, 0.68642578125, 0.00322265625, 0.00322265625, 0.00322265625 
1502799561.016400, 0.184, 0.780, 1.518, 1.502, 0, 0.184, 0.780, 0.000, 0.68642578125, 0.00322265625, 0.0064453125, 0.0064453125 
1502799561.117671, 0.029, 0.780, 1.511, 1.511, 0, 0.029, 0.780, 0.000, 0.6767578125, 0.0, 0.0, 0.0 
1502799561.219065, 0.751, 0.786, 1.511, 1.502, 0, 0.751, 0.786, 0.000, 0.6767578125, 0.0, 0.00322265625, 0.0064453125 
1502799561.320453, 0.081, 0.880, 0.851, 0.851, 86, 0.081, 0.880, 0.000, 0.7283203125, 0.012890625, 0.00322265625, 0.0 
1502799561.422181, 0.677, 0.812, 1.560, 1.579, 91, 0.677, 0.812, 0.000, 0.708984375, 0.0451171875, 0.02578125, 0.01611328125 
1502799561.524272, 0.103, 0.851, 1.637, 1.560, 105, 0.103, 0.851, 0.000, 0.71865234375, 0.02900390625, 0.0322265625, 0.02900390625 
1502799561.626137, 0.754, 0.812, 1.534, 1.492, 91, 0.754, 0.812, 0.000, 0.7283203125, 0.038671875, 0.038671875, 0.038671875 
1502799561.727865, 0.719, 0.812, 1.553, 1.560, 128, 0.719, 0.812, 0.000, 0.7798828125, 0.0837890625, 0.06767578125, 0.06123046875 
1502799561.829698, 0.751, 0.754, 1.473, 1.457, 75, 0.751, 0.754, 0.000, 0.75087890625, 0.0515625, 0.04189453125, 0.04189453125 
1502799561.931535, 0.151, 0.754, 1.473, 1.450, 37, 0.151, 0.754, 0.000, 0.75087890625, 0.02578125, 0.00322265625, 0.0064453125 
1502799562.033315, 0.203, 0.754, 1.457, 1.473, 34, 0.203, 0.754, 0.000, 0.73798828125, 0.01611328125, 0.00322265625, 0.0064453125 
1502799562.135291, 0.799, 0.754, 1.457, 1.470, 7, 0.799, 0.754, 0.000, 0.734765625, 0.0064453125, 0.0, 0.0 
1502799562.237071, 0.661, 0.754, 1.476, 1.470, 0, 0.661, 0.754, 0.000, 0.73798828125, 0.0, 0.0, 0.0 
1502799562.338866, 0.748, 0.780, 1.544, 1.511, 8, 0.748, 0.780, 0.000, 0.75087890625, 0.0, 0.0, 0.0 
1502799562.440867, 0.029, 0.786, 1.492, 1.492, 8, 0.029, 0.786, 0.000, 0.74765625, 0.0, 0.0, 0.0 
