t,dr,cr,pv
1488984027,0.877,2.297753906,16
1488984027,0.786,2.307421875,16
1488984027,0.686,2.291308594,16
1488984027,0.603,2.288085938,16
1488984027,0.896,2.297753906,16
1488984027,0.967,2.288085938,16
1488984027,0.741,2.291308594,16
1488984028,0.674,2.278417969,16
1488984028,0.786,2.44921875,24
1488984028,0.925,2.288085938,24
1488984028,1.167,2.288085938,24
1488984028,0.922,2.329980469,24
1488984028,0.964,2.410546875,24
1488984028,0.941,2.288085938,24
1488984028,0.835,2.34609375,24
1488984028,0.815,2.3203125,24
1488984028,0.786,2.26875,24
1488984029,0.925,2.410546875,24
1488984029,0.883,2.288085938,24
1488984029,0.893,2.3203125,24
1488984029,0.828,2.394433594,24
1488984029,1.073,2.255859375,24
1488984029,0.922,2.391210938,24
1488984029,1.005,2.288085938,24
1488984029,0.989,2.34609375,24
1488984029,1.012,2.426660156,24
1488984030,0.938,2.265527344,24
1488984030,0.851,2.39765625,24
1488984030,0.886,2.310644531,24
1488984030,0.815,2.26875,24
1488984030,0.925,2.4234375,24
1488984030,0.828,2.262304688,24
1488984030,0.893,2.391210938,24
1488984030,0.815,2.291308594,24
1488984030,0.902,2.358984375,24
1488984030,0.835,2.323535156,24
1488984031,1.041,2.26875,24
1488984031,1.041,2.410546875,24
1488984031,1.015,2.278417969,24
1488984031,0.97,2.410546875,24
1488984031,0.909,2.26875,24
1488984031,0.96,2.413769531,24
1488984031,0.831,2.29453125,24
1488984031,0.841,2.39765625,24
1488984031,0.819,2.26875,24
1488984031,0.912,2.39765625,24
1488984032,0.896,2.278417969,24
1488984032,0.809,2.4234375,24
1488984032,0.909,2.288085938,24
1488984032,1.076,2.407324219,24
1488984032,0.828,2.262304688,24
1488984032,1.073,2.358984375,24
1488984032,1.057,2.291308594,24
1488984032,0.98,2.26875,24
1488984032,0.989,2.410546875,24
1488984032,0.815,2.26875,24
1488984033,0.893,2.413769531,24
1488984033,0.896,2.278417969,24
1488984033,0.906,2.34609375,32
1488984033,0.915,2.288085938,32
1488984033,1.012,2.426660156,32
1488984033,0.98,2.391210938,32
1488984033,1.041,2.29453125,32
1488984033,1.109,2.26875,32
