t,f_spd0,r_spd0,f_spd1,r_spd1,f_spd2,r_spd2,cra,crb,pv,Tc,Vpz,Vms
1507542253.94789,0,0,0,0,0,0,2.555,0.006,1.003,16.625,0.0548387097,0.194
1507542253.95961,0,0,0,0,0,0,2.494,0,1.003,16.625,0,0.194
1507542253.97133,0,0,0,0,0,0,2.513,0.048,1.003,16.625,0.1193548387,0.194
1507542253.98316,0,0,0,0,0,0,2.535,0,1.003,16.625,0,0.194
1507542253.99489,0,0,0,0,0,0,2.539,0.042,1.003,16.625,0.1032258065,0.206
1507542254.00664,0,0,0,0,0,0,2.529,0,1.003,16.625,0.0258064516,0.194
1507542254.01837,0,0,0,0,0,0,2.539,0,1.003,16.625,0,0.194
1507542254.0301,0,0,0,0,0,0,2.555,0.032,1.003,16.625,0.1,0.206
1507542254.04181,0,0,0,0,0,0,2.542,0,1.003,16.625,0,0.194
1507542254.0536,0,0,0,0,0,0,2.519,0.052,1.003,16.625,0.1225806452,0.206
1507542254.06532,0,0,0,0,0,0,2.539,0,1.003,16.625,0,0.206
1507542254.07717,0,0,0,0,0,0,2.535,0.016,1.003,16.625,0.0322580645,0.194
1507542254.08893,0,0,0,0,0,0,2.529,0.019,1.003,16.625,0.0806451613,0.206
1507542254.10065,0,0,0,0,0,0,2.542,0,1.003,16.625,0,0.206
1507542254.11243,0,0,0,0,0,0,2.506,0.055,1.003,16.625,0.1290322581,0.206
1507542254.12416,0,0,0,0,0,0,2.545,0,1.003,16.625,0,0.206
1507542254.13586,0,0,0,0,0,0,2.561,0.035,1.003,16.625,0.0774193548,0.206
1507542254.14763,0,0,0,0,0,0,2.497,0.003,1.003,16.625,0.0516129032,0.206
1507542254.15937,0,0,0,0,0,0,2.513,0,1.003,16.625,0,0.206
1507542254.17108,0,0,0,0,0,0,2.545,0.045,1.003,16.625,0.1161290323,0.206
1507542254.18285,0,0,0,0,0,0,2.532,0,1.003,16.625,0,0.206
1507542254.19457,0,0,0,0,0,0,2.535,0.042,1.003,16.625,0.1096774194,0.206
1507542254.20627,0,0,0,0,0,0,2.535,0,1.003,16.625,0.0161290323,0.206
1507542254.21799,0,0,0,0,0,0,2.552,0.003,1.003,16.625,0,0.206
1507542254.22971,0,0,0,0,0,0,2.523,0.032,1.003,16.625,0.0967741935,0.206
1507542254.24146,0,0,0,0,0,0,2.519,0,1.003,16.625,0,0.206
1507542254.25329,0,0,0,0,0,0,2.526,0.055,1.003,16.625,0.1258064516,0.206
1507542254.26503,0,0,0,0,0,0,2.561,0,1.003,16.625,0,0.206
1507542254.27675,0,0,0,0,0,0,2.526,0.023,1.003,16.625,0.0419354839,0.206
1507542254.28851,0,0,0,0,0,0,2.51,0.016,1.338,16.625,0.0774193548,0.206
1507542254.3007,0,0,0,0,0,0,2.513,0,1.338,16.625,0,0.206
1507542254.31287,0,0,0,0,0,0,2.484,0.055,1.338,16.625,0.1258064516,0.206
1507542254.32474,0,0,0,0,0,0,2.545,0,1.338,16.625,0,0.206
1507542254.33653,0,0,0,0,0,0,2.519,0.023,1.338,16.625,0.0483870968,0.219
1507542254.34837,0,0,0,0,0,0,2.526,0.016,1.338,16.625,0.0709677419,0.219
1507542254.36021,0,0,0,0,0,0,2.526,0,1.338,16.625,0,0.206
1507542254.37203,0,0,0,0,0,0,2.529,0.052,1.338,16.625,0.1258064516,0.219
1507542254.38379,0,0,0,0,0,0,2.494,0,1.338,16.625,0,0.219
1507542254.39554,0,0,0,0,0,0,2.545,0.035,1.338,16.625,0.0838709677,0.219
1507542254.40727,0,0,0,0,0,0,2.539,0,1.338,16.625,0.0451612903,0.219
1507542254.41899,0,0,0,0,0,0,2.555,0,1.338,16.625,0,0.219
1507542254.4307,0,0,0,0,0,0,2.532,0.045,1.338,16.625,0.1129032258,0.219
1507542254.44248,0,0,0,0,0,0,2.539,0,1.338,16.625,0,0.219
1507542254.45421,0,0,0,0,0,0,2.519,0.045,1.338,16.625,0.1129032258,0.219
1507542254.46593,0,0,0,0,0,0,2.565,0,1.338,16.625,0.0096774194,0.219
1507542254.47766,0,0,0,0,0,0,2.532,0.003,1.338,16.625,0.0032258065,0.219
1507542254.48941,0,0,0,0,0,0,2.552,0.032,1.338,16.625,0.0935483871,0.219
1507542254.50114,0,0,0,0,0,0,2.523,0,1.338,16.625,0,0.219
1507542254.51292,0,0,0,0,0,0,2.523,0.055,1.338,16.625,0.1290322581,0.219
1507542254.52483,0,0,0,0,0,0,2.526,0,1.338,16.625,0,0.219
1507542254.53659,0,0,0,0,0,0,2.539,0.023,1.338,16.625,0.0419354839,0.219
1507542254.54837,0,0,0,0,0,0,2.568,0.016,1.338,16.625,0.0709677419,0.219
1507542254.56014,0,0,0,0,0,0,2.506,0,1.338,16.625,0,0.219
1507542254.57187,0,0,0,0,0,0,2.571,0.052,1.338,16.625,0.1258064516,0.219
1507542254.58363,0,0,0,0,0,0,2.513,0,1.338,16.625,0,0.219
1507542254.59536,0,0,0,0,0,0,2.519,0.035,1.338,16.625,0.0838709677,0.219
1507542254.60708,0,0,0,0,0,0,2.523,0,1.338,16.625,0.0451612903,0.219
1507542254.61888,0,0,0,0,0,0,2.506,0,1.338,16.625,0,0.219
1507542254.6306,0,0,0,0,0,0,2.516,0.042,1.338,16.625,0.1096774194,0.219
1507542254.6424,0,0,0,0,0,0,2.5,0,1.338,16.625,0,0.219
1507542254.65414,0,0,0,0,0,0,2.519,0.052,1.338,16.625,0.1129032258,0.219
