t,dr,fdr,cra,crb,pv,T,Vpz
1504175859.930853, 1.647, 1.647, 0.799, 0.799, 40, 0.000, 1.018359375 
1504175860.032414, 1.647, 1.647, 0.799, 0.799, 40, 0.000, 1.00546875 
1504175860.134340, 1.647, 1.647, 0.799, 0.799, 40, 0.000, 0.97646484375 
1504175860.236135, 1.647, 1.647, 0.812, 0.812, 40, 0.000, 0.97646484375 
1504175860.337751, 1.647, 1.647, 0.812, 0.812, 40, 0.000, 0.97646484375 
1504175860.439326, 1.647, 1.647, 0.799, 0.799, 40, 0.000, 0.97646484375 
1504175860.540853, 1.647, 1.647, 0.799, 0.799, 40, 0.000, 0.97646484375 
1504175860.642433, 1.647, 1.647, 0.812, 0.812, 40, 0.000, 0.97646484375 
1504175860.743969, 1.647, 1.647, 0.812, 0.812, 40, 0.000, 0.97646484375 
1504175860.845487, 1.647, 1.647, 0.812, 0.812, 40, 0.000, 0.95068359375 
1504175860.947057, 1.647, 1.647, 0.812, 0.812, 40, 0.000, 0.95712890625 
1504175861.053191, 1.647, 1.647, 0.812, 0.812, 40, 0.000, 0.97646484375 
1504175861.155127, 1.647, 1.647, 0.812, 0.812, 40, 0.000, 0.97646484375 
1504175861.256891, 1.647, 1.647, 0.812, 0.812, 40, 0.000, 0.97646484375 
1504175861.358583, 1.647, 1.647, 0.799, 0.799, 40, 0.000, 0.97646484375 
1504175861.460216, 1.647, 1.647, 0.799, 0.799, 40, 0.000, 0.9603515625 
1504175861.561759, 1.647, 1.647, 0.799, 0.799, 40, 0.000, 0.941015625 
1504175861.663308, 1.647, 1.647, 0.799, 0.799, 40, 0.000, 0.95068359375 
1504175861.764928, 1.647, 1.647, 0.799, 0.799, 40, 0.000, 0.9603515625 
1504175861.866510, 1.647, 1.647, 0.799, 0.799, 40, 0.000, 0.95068359375 
1504175861.968265, 1.647, 1.647, 0.799, 0.799, 40, 0.000, 0.9603515625 
1504175862.070366, 1.647, 1.647, 0.799, 0.799, 48, 0.000, 0.9603515625 
1504175862.172359, 1.647, 1.647, 0.812, 0.812, 48, 0.000, 0.95068359375 
1504175862.274141, 1.647, 1.647, 0.799, 0.799, 48, 0.000, 0.941015625 
1504175862.375753, 1.647, 1.647, 0.799, 0.812, 48, 0.000, 0.95068359375 
1504175862.477387, 1.647, 1.647, 0.812, 0.812, 48, 0.000, 0.95712890625 
1504175862.579039, 1.647, 1.647, 0.799, 0.812, 48, 0.000, 0.95068359375 
1504175862.680593, 1.647, 1.647, 0.812, 0.812, 48, 0.000, 0.97646484375 
1504175862.782119, 1.647, 1.647, 0.799, 0.799, 48, 0.000, 0.95068359375 
1504175862.883690, 1.647, 1.647, 0.812, 0.812, 48, 0.000, 0.941015625 
1504175862.985255, 1.647, 1.647, 0.799, 0.799, 48, 0.000, 0.95068359375 
1504175863.088765, 1.647, 1.647, 0.812, 0.812, 48, 0.000, 0.95068359375 
1504175863.190914, 1.647, 1.647, 0.799, 0.799, 48, 0.000, 0.95712890625 
1504175863.292802, 1.647, 1.647, 0.812, 0.812, 48, 0.000, 0.97646484375 
