t,spd0,spd1,spd2,spd3,spd4,spd5,Vcr,adc0,dc,T,Vpz,Vms
1509364100.443236, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.616, 0.039, 30.000, 17.000, 0.138709677419, 1.574 
1509364100.455346, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.684, 0.000, 30.000, 17.000, 0.0, 1.574 
1509364100.467349, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.665, 0.058, 30.000, 17.000, 0.183870967742, 1.574 
1509364100.479484, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.645, 0.000, 30.000, 17.000, 0.00967741935484, 1.574 
1509364100.491331, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.642, 0.023, 30.000, 17.000, 0.0483870967742, 1.600 
1509364100.503306, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.674, 0.032, 30.000, 17.000, 0.132258064516, 1.587 
1509364100.515117, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.629, 0.000, 30.000, 17.000, 0.0, 1.600 
1509364100.527036, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.635, 0.065, 30.000, 17.000, 0.187096774194, 1.600 
1509364100.538832, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.668, 0.000, 30.000, 17.000, 0.0, 1.600 
1509364100.550760, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.671, 0.039, 30.000, 17.000, 0.0838709677419, 1.600 
1509364100.562564, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.613, 0.016, 30.000, 17.000, 0.109677419355, 1.613 
1509364100.574408, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.681, 0.000, 30.000, 17.000, 0.0, 1.587 
1509364100.586341, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.642, 0.055, 30.000, 17.000, 0.174193548387, 1.626 
1509364100.598333, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.665, 0.000, 30.000, 17.000, 0.0, 1.613 
1509364100.610164, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.619, 0.045, 30.000, 17.000, 0.109677419355, 1.613 
1509364100.622054, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.681, 0.010, 30.000, 17.000, 0.0967741935484, 1.626 
1509364100.633892, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.639, 0.000, 30.000, 17.000, 0.0, 1.626 
1509364100.645788, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.674, 0.058, 30.000, 17.000, 0.174193548387, 1.626 
1509364100.657490, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.658, 0.000, 30.000, 17.000, 0.0, 1.639 
1509364100.669124, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.648, 0.055, 30.000, 17.000, 0.158064516129, 1.639 
1509364100.680656, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.710, 0.000, 30.000, 17.000, 0.0354838709677, 1.626 
1509364100.692196, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.655, 0.013, 30.000, 17.000, 0.0161290322581, 1.639 
1509364100.703759, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.635, 0.035, 20.000, 17.000, 0.135483870968, 1.652 
1509364100.715315, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.632, 0.000, 20.000, 17.000, 0.0, 1.639 
1509364100.727004, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.632, 0.065, 20.000, 17.000, 0.190322580645, 1.639 
1509364100.738607, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.626, 0.000, 20.000, 17.000, 0.0, 1.626 
1509364100.750222, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.613, 0.042, 20.000, 17.000, 0.11935483871, 1.639 
1509364100.761782, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.655, 0.000, 20.000, 17.000, 0.0774193548387, 1.626 
1509364100.773374, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.632, 0.000, 20.000, 17.000, 0.0, 1.639 
1509364100.784900, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.665, 0.058, 20.000, 17.000, 0.161290322581, 1.613 
1509364100.796736, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.677, 0.000, 20.000, 17.000, 0.0, 1.613 
1509364100.808287, 0.000, 0.000, 3.140, 3.140, 3.140, 3.140, 2.655, 0.061, 20.000, 17.000, 0.18064516129, 1.613 
1509364100.819825, 0.000, 364.194, 3.140, 3.140, 3.140, 3.140, 2.639, 0.000, 20.000, 17.000, 0.0129032258065, 1.587 
1509364100.831379, 0.000, 364.194, 3.140, 3.140, 3.140, 3.140, 2.648, 0.029, 20.000, 17.000, 0.0709677419355, 1.613 
