t,dr,cr,cr2a,cr2b,pv,fdr,fcr,T
1497271319.428885, 0.628, 1.795, 2.546, 2.459, 8, 0.628, 1.795, 20.750 
1497271320.348945, 0.264, 1.805, 2.588, 2.475, 8, 0.264, 1.805, 20.750 
1497271321.268875, 0.039, 1.795, 2.530, 2.452, 8, 0.039, 1.795, 20.750 
1497271322.189026, 0.403, 1.805, 2.552, 2.449, 8, 0.403, 1.805, 20.750 
1497271323.109018, 0.744, 1.805, 2.601, 2.449, 8, 0.744, 1.805, 20.750 
1497271324.028984, 0.035, 1.782, 2.552, 2.475, 67, 0.035, 1.782, 20.750 
1497271324.948998, 0.967, 1.814, 2.514, 2.433, 8, 0.967, 1.814, 20.750 
1497271325.869031, 0.587, 1.789, 2.536, 2.433, 8, 0.587, 1.789, 20.750 
1497271326.789018, 0.496, 1.795, 2.556, 2.504, 8, 0.496, 1.795, 20.750 
1497271327.708891, 0.052, 1.808, 2.607, 2.488, 8, 0.052, 1.808, 20.750 
1497271328.628993, 0.400, 1.808, 2.588, 2.469, 8, 0.400, 1.808, 20.750 
1497271329.549018, 0.342, 1.805, 2.581, 2.475, 8, 0.342, 1.805, 20.750 
1497271330.468882, 0.258, 1.808, 2.604, 2.475, 4, 0.258, 1.808, 20.750 
1497271331.388974, 1.031, 1.753, 2.514, 2.385, 8, 1.031, 1.753, 20.750 
1497271332.309167, 0.187, 1.795, 2.552, 2.449, 8, 0.187, 1.795, 20.750 
1497271333.228988, 0.103, 1.792, 2.581, 2.478, 8, 0.103, 1.792, 20.750 
1497271334.149031, 0.432, 1.808, 2.588, 2.498, 8, 0.432, 1.808, 20.750 
1497271335.068996, 0.264, 1.805, 2.562, 2.472, 8, 0.264, 1.805, 20.750 
1497271335.988891, 0.300, 1.795, 2.568, 2.452, 8, 0.300, 1.795, 20.750 
1497271336.908914, 0.599, 1.811, 2.581, 2.459, 8, 0.599, 1.811, 20.750 
1497271337.828982, 0.696, 1.808, 2.581, 2.485, 90, 0.696, 1.808, 20.750 
1497271338.749016, 0.912, 1.830, 2.639, 2.552, 16, 0.912, 1.830, 20.750 
1497271339.668920, 1.157, 1.750, 2.494, 2.391, 16, 1.157, 1.750, 20.687 
1497271340.589025, 0.197, 1.808, 2.588, 2.469, 16, 0.197, 1.808, 20.750 
1497271341.508875, 0.274, 1.814, 2.597, 2.469, 16, 0.274, 1.814, 20.750 
1497271342.428861, 0.680, 1.795, 2.565, 2.459, 16, 0.680, 1.795, 20.687 
1497271343.349055, 0.293, 1.792, 2.575, 2.527, 16, 0.293, 1.792, 20.750 
1497271344.269002, 0.197, 1.795, 2.572, 2.462, 16, 0.197, 1.795, 20.750 
1497271345.188988, 0.806, 1.798, 2.572, 2.494, 16, 0.806, 1.798, 20.687 
1497271346.108878, 0.064, 1.792, 2.562, 2.423, 16, 0.064, 1.792, 20.687 
1497271347.039015, 0.596, 1.814, 2.578, 2.501, 16, 0.596, 1.814, 20.687 
1497271347.958944, 0.238, 1.792, 2.539, 2.436, 67, 0.238, 1.792, 20.687 
1497271348.878971, 0.938, 1.750, 2.498, 2.385, 16, 0.938, 1.750, 20.687 
1497271349.799020, 0.074, 1.805, 2.604, 2.485, 16, 0.074, 1.805, 20.687 
1497271350.718918, 0.490, 1.814, 2.597, 2.504, 16, 0.490, 1.814, 20.687 
1497271351.638872, 0.081, 1.808, 2.581, 2.488, 16, 0.081, 1.808, 20.687 
1497271352.558879, 0.741, 1.795, 2.575, 2.475, 16, 0.741, 1.795, 20.687 
1497271353.478863, 0.145, 1.792, 2.527, 2.478, 16, 0.145, 1.792, 20.687 
1497271354.398873, 0.712, 1.798, 2.572, 2.449, 16, 0.712, 1.798, 20.687 
1497271355.318868, 0.403, 1.785, 2.562, 2.449, 16, 0.403, 1.785, 20.687 
1497271356.268868, 0.277, 1.805, 2.591, 2.475, 16, 0.277, 1.805, 20.687 
1497271357.188852, 0.799, 1.795, 2.552, 2.452, 16, 0.799, 1.795, 20.687 
1497271358.109023, 0.596, 1.792, 2.572, 2.433, 16, 0.596, 1.792, 20.687 
1497271359.028980, 0.458, 1.795, 2.588, 2.459, 85, 0.458, 1.795, 20.687 
1497271359.949007, 1.473, 1.869, 2.717, 2.604, 16, 1.473, 1.869, 20.687 
1497271360.869035, 0.267, 1.805, 2.597, 2.462, 16, 0.267, 1.805, 20.687 
1497271361.788883, 0.593, 1.792, 2.597, 2.456, 16, 0.593, 1.792, 20.687 
1497271362.708934, 0.364, 1.795, 2.546, 2.449, 16, 0.364, 1.795, 20.687 
1497271363.628877, 0.052, 1.814, 2.630, 2.423, 16, 0.052, 1.814, 20.687 
1497271364.548883, 0.277, 1.805, 2.575, 2.488, 16, 0.277, 1.805, 20.687 
1497271365.468863, 0.277, 1.808, 2.581, 2.517, 16, 0.277, 1.808, 20.687 
1497271366.388862, 0.567, 1.792, 2.568, 2.423, 16, 0.567, 1.792, 20.687 
1497271367.308866, 0.570, 1.792, 2.575, 2.514, 16, 0.570, 1.792, 20.687 
1497271368.228861, 0.483, 1.792, 2.556, 2.478, 16, 0.483, 1.792, 20.687 
1497271369.148927, 0.245, 1.792, 2.530, 2.459, 16, 0.245, 1.792, 20.687 
1497271370.068892, 0.754, 1.792, 2.578, 2.427, 16, 0.754, 1.792, 20.687 
1497271370.989013, 0.161, 1.805, 2.562, 2.494, 16, 0.161, 1.805, 20.687 
1497271371.908920, 0.551, 1.792, 2.552, 2.462, 69, 0.551, 1.792, 20.687 
1497271372.828972, 1.379, 1.908, 2.691, 2.655, 24, 1.379, 1.908, 20.687 
1497271373.749043, 0.558, 1.792, 2.572, 2.443, 24, 0.558, 1.792, 20.687 
1497271374.668886, 0.032, 1.789, 2.597, 2.449, 24, 0.032, 1.789, 20.687 
1497271375.588865, 0.851, 1.814, 2.575, 2.494, 24, 0.851, 1.814, 20.687 
1497271376.508858, 0.110, 1.808, 2.597, 2.501, 24, 0.110, 1.808, 20.687 
1497271377.429030, 0.967, 1.798, 2.604, 2.488, 24, 0.967, 1.798, 20.687 
1497271378.348955, 0.383, 1.792, 2.552, 2.443, 24, 0.383, 1.792, 20.687 
1497271379.268980, 0.902, 1.814, 2.597, 2.465, 24, 0.902, 1.814, 20.687 
1497271380.188888, 0.703, 1.911, 2.746, 2.655, 6, 0.703, 1.911, 20.687 
1497271381.108918, 1.482, 1.876, 2.752, 2.597, 24, 1.482, 1.876, 20.687 
1497271382.029001, 0.680, 1.792, 2.588, 2.423, 24, 0.680, 1.792, 20.687 
1497271382.948904, 0.148, 1.814, 2.617, 2.536, 24, 0.148, 1.814, 20.625 
1497271383.869049, 0.906, 1.789, 2.556, 2.494, 24, 0.906, 1.789, 20.625 
1497271384.789015, 0.145, 1.792, 2.575, 2.452, 24, 0.145, 1.792, 20.625 
1497271385.708992, 0.941, 1.814, 2.597, 2.530, 24, 0.941, 1.814, 20.687 
1497271386.628976, 0.068, 1.792, 2.546, 2.449, 24, 0.068, 1.792, 20.625 
1497271387.548913, 0.886, 1.863, 2.704, 2.578, 31, 0.886, 1.863, 20.625 
1497271388.468929, 0.947, 1.901, 2.733, 2.665, 24, 0.947, 1.901, 20.625 
1497271389.389026, 0.825, 1.808, 2.623, 2.510, 24, 0.825, 1.808, 20.625 
1497271390.308912, 0.119, 1.792, 2.565, 2.446, 24, 0.119, 1.792, 20.625 
1497271391.229016, 0.812, 1.814, 2.630, 2.527, 24, 0.812, 1.814, 20.625 
1497271392.149034, 0.061, 1.792, 2.575, 2.465, 24, 0.061, 1.792, 20.625 
1497271393.068980, 0.435, 1.808, 2.588, 2.520, 126, 0.435, 1.808, 20.625 
1497271393.988967, 1.231, 1.740, 2.462, 2.407, 32, 1.231, 1.740, 20.625 
1497271394.908918, 0.541, 1.792, 2.617, 2.485, 32, 0.541, 1.792, 20.625 
1497271395.828939, 0.348, 1.814, 2.565, 2.475, 32, 0.348, 1.814, 20.625 
1497271396.748897, 0.429, 1.792, 2.527, 2.459, 32, 0.429, 1.792, 20.625 
1497271397.669017, 0.686, 1.808, 2.604, 2.514, 32, 0.686, 1.808, 20.625 
1497271398.589001, 0.980, 1.789, 2.552, 2.469, 32, 0.980, 1.789, 20.625 
1497271399.508984, 0.599, 1.808, 2.639, 2.527, 70, 0.599, 1.808, 20.625 
1497271400.428995, 1.215, 1.830, 2.655, 2.536, 32, 1.215, 1.830, 20.625 
1497271401.349053, 0.654, 1.782, 2.514, 2.475, 32, 0.654, 1.782, 20.625 
1497271402.268884, 0.471, 1.814, 2.604, 2.459, 32, 0.471, 1.814, 20.625 
1497271403.188862, 0.361, 1.814, 2.597, 2.485, 32, 0.361, 1.814, 20.625 
1497271404.108862, 0.616, 1.779, 2.552, 2.472, 32, 0.616, 1.779, 20.625 
1497271405.028867, 0.809, 1.814, 2.588, 2.459, 32, 0.809, 1.814, 20.625 
1497271405.949034, 0.886, 1.792, 2.556, 2.475, 32, 0.886, 1.792, 20.625 
1497271406.868994, 0.616, 1.814, 2.630, 2.485, 32, 0.616, 1.814, 20.625 
1497271407.788979, 0.412, 1.814, 2.601, 2.488, 46, 0.412, 1.814, 20.625 
1497271408.708991, 1.109, 1.879, 2.733, 2.588, 0, 1.109, 1.879, 20.625 
1497271409.628923, 0.835, 1.763, 2.552, 2.423, 32, 0.835, 1.763, 20.625 
1497271410.548944, 0.329, 1.808, 2.604, 2.494, 32, 0.329, 1.808, 20.625 
1497271411.468859, 0.419, 1.814, 2.588, 2.494, 32, 0.419, 1.814, 20.625 
1497271412.389010, 0.596, 1.792, 2.578, 2.510, 32, 0.596, 1.792, 20.625 
1497271413.309011, 0.777, 1.814, 2.562, 2.394, 32, 0.777, 1.814, 20.625 
1497271414.228985, 0.947, 1.805, 2.597, 2.536, 58, 0.947, 1.805, 20.625 
1497271415.149005, 0.870, 1.866, 2.717, 2.633, 40, 0.870, 1.866, 20.625 
1497271416.068897, 0.931, 1.779, 2.536, 2.443, 40, 0.931, 1.779, 20.625 
1497271416.989021, 0.696, 1.782, 2.597, 2.485, 40, 0.696, 1.782, 20.625 
1497271417.908882, 0.809, 1.805, 2.614, 2.494, 40, 0.809, 1.805, 20.625 
1497271418.829019, 0.848, 1.818, 2.604, 2.514, 40, 0.848, 1.818, 20.625 
1497271419.748939, 0.703, 1.789, 2.552, 2.475, 40, 0.703, 1.789, 20.625 
1497271420.668914, 0.857, 1.789, 2.568, 2.462, 40, 0.857, 1.789, 20.625 
1497271421.589021, 0.728, 1.805, 2.552, 2.475, 40, 0.728, 1.805, 20.625 
1497271422.509046, 0.712, 1.789, 2.578, 2.488, 60, 0.712, 1.789, 20.625 
1497271423.429000, 1.067, 1.824, 2.675, 2.539, 0, 1.067, 1.824, 20.625 
1497271424.348975, 0.354, 1.808, 2.568, 2.514, 40, 0.354, 1.808, 20.625 
1497271425.268926, 0.773, 1.789, 2.546, 2.443, 40, 0.773, 1.789, 20.625 
1497271426.188853, 0.593, 1.785, 2.575, 2.469, 40, 0.593, 1.785, 20.625 
1497271427.108862, 0.893, 1.785, 2.514, 2.469, 40, 0.893, 1.785, 20.625 
1497271428.029003, 0.812, 1.792, 2.514, 2.469, 40, 0.812, 1.792, 20.625 
1497271428.949034, 0.538, 1.814, 2.597, 2.498, 40, 0.538, 1.814, 20.625 
1497271429.868980, 0.738, 1.814, 2.601, 2.498, 61, 0.738, 1.814, 20.625 
1497271430.788944, 0.841, 1.763, 2.520, 2.411, 40, 0.841, 1.763, 20.625 
1497271431.709022, 1.076, 1.821, 2.601, 2.498, 40, 1.076, 1.821, 20.625 
1497271432.628873, 0.812, 1.805, 2.630, 2.527, 40, 0.812, 1.805, 20.625 
1497271433.548880, 0.471, 1.824, 2.597, 2.552, 40, 0.471, 1.824, 20.625 
1497271434.469026, 0.815, 1.785, 2.588, 2.469, 40, 0.815, 1.785, 20.625 
1497271435.389142, 0.783, 1.818, 2.604, 2.520, 40, 0.783, 1.818, 20.625 
1497271436.308930, 0.767, 1.814, 2.617, 2.572, 18, 0.767, 1.814, 20.625 
1497271437.228981, 0.197, 1.750, 2.498, 2.391, 48, 0.197, 1.750, 20.625 
1497271438.149050, 0.983, 1.818, 2.617, 2.491, 48, 0.983, 1.818, 20.625 
1497271439.068888, 0.815, 1.785, 2.591, 2.443, 48, 0.815, 1.785, 20.625 
1497271439.988867, 0.915, 1.789, 2.601, 2.498, 48, 0.915, 1.789, 20.625 
1497271440.909020, 0.902, 1.818, 2.630, 2.498, 48, 0.902, 1.818, 20.625 
1497271441.829011, 0.857, 1.824, 2.578, 2.530, 48, 0.857, 1.824, 20.625 
1497271442.748902, 0.857, 1.805, 2.655, 2.501, 48, 0.857, 1.805, 20.625 
1497271443.668980, 0.870, 1.814, 2.617, 2.494, 48, 0.870, 1.814, 20.562 
1497271444.588892, 0.883, 1.792, 2.604, 2.504, 116, 0.883, 1.792, 20.625 
1497271445.508965, 1.943, 1.805, 2.588, 2.536, 48, 1.943, 1.805, 20.625 
1497271446.429031, 0.857, 1.785, 2.578, 2.462, 48, 0.857, 1.785, 20.562 
1497271447.348933, 0.761, 1.814, 2.588, 2.501, 48, 0.761, 1.814, 20.562 
1497271448.269016, 0.909, 1.805, 2.614, 2.510, 48, 0.909, 1.805, 20.625 
1497271449.189014, 0.754, 1.814, 2.588, 2.488, 48, 0.754, 1.814, 20.625 
1497271450.108982, 0.983, 1.789, 2.530, 2.478, 61, 0.983, 1.789, 20.562 
1497271451.028974, 1.254, 1.885, 2.701, 2.617, 48, 1.254, 1.885, 20.562 
1497271451.949050, 0.912, 1.814, 2.614, 2.459, 48, 0.912, 1.814, 20.562 
1497271452.868890, 0.748, 1.824, 2.639, 2.536, 48, 0.748, 1.824, 20.562 
1497271453.788866, 0.709, 1.818, 2.633, 2.507, 48, 0.709, 1.818, 20.562 
1497271454.708865, 0.812, 1.824, 2.630, 2.536, 48, 0.812, 1.824, 20.562 
1497271455.629030, 0.596, 1.789, 2.588, 2.478, 48, 0.596, 1.789, 20.562 
1497271456.569053, 1.047, 1.792, 2.581, 2.465, 48, 1.047, 1.792, 20.562 
1497271457.488940, 0.960, 1.876, 2.678, 2.565, 55, 0.960, 1.876, 20.562 
1497271458.408934, 1.476, 1.879, 2.630, 2.552, 56, 1.476, 1.879, 20.562 
1497271459.329024, 1.147, 1.782, 2.565, 2.459, 56, 1.147, 1.782, 20.562 
1497271460.248925, 1.005, 1.814, 2.639, 2.514, 56, 1.005, 1.814, 20.562 
1497271461.168874, 0.906, 1.811, 2.620, 2.527, 56, 0.906, 1.811, 20.562 
1497271462.088888, 1.173, 1.818, 2.630, 2.478, 56, 1.173, 1.818, 20.562 
1497271463.009018, 0.877, 1.779, 2.552, 2.462, 56, 0.877, 1.779, 20.562 
1497271463.929008, 1.263, 1.814, 2.630, 2.527, 116, 1.263, 1.814, 20.562 
1497271465.668980, 1.679, 1.856, 2.684, 2.588, 56, 1.679, 1.856, 20.562 
1497271466.599035, 0.757, 1.789, 2.556, 2.478, 56, 0.757, 1.789, 20.562 
1497271467.518896, 1.034, 1.814, 2.630, 2.546, 56, 1.034, 1.814, 20.562 
1497271468.439035, 0.844, 1.792, 2.575, 2.449, 56, 0.844, 1.792, 20.562 
1497271469.358949, 1.070, 1.789, 2.565, 2.514, 56, 1.070, 1.789, 20.562 
1497271470.278951, 1.083, 1.785, 2.552, 2.452, 56, 1.083, 1.785, 20.562 
1497271471.198884, 0.599, 1.782, 2.546, 2.459, 56, 0.599, 1.782, 20.562 
1497271472.119038, 0.918, 1.818, 2.639, 2.443, 56, 0.918, 1.818, 20.562 
1497271473.038993, 1.034, 1.805, 2.556, 2.488, 72, 1.034, 1.805, 20.562 
1497271473.959018, 1.154, 1.882, 2.733, 2.597, 56, 1.154, 1.882, 20.562 
1497271474.879040, 0.799, 1.792, 2.604, 2.485, 56, 0.799, 1.792, 20.562 
1497271475.798916, 0.931, 1.808, 2.604, 2.514, 56, 0.931, 1.808, 20.562 
1497271476.718893, 1.025, 1.830, 2.639, 2.539, 56, 1.025, 1.830, 20.562 
1497271477.638875, 1.192, 1.818, 2.639, 2.520, 56, 1.192, 1.818, 20.562 
1497271478.559063, 1.144, 1.785, 2.604, 2.469, 56, 1.144, 1.785, 20.562 
1497271479.479024, 0.831, 1.805, 2.601, 2.478, 56, 0.831, 1.805, 20.562 
1497271480.399003, 1.028, 1.782, 2.539, 2.475, 56, 1.028, 1.782, 20.562 
1497271481.318892, 0.947, 1.782, 2.552, 2.462, 56, 0.947, 1.782, 20.562 
1497271482.238986, 0.983, 1.824, 2.630, 2.527, 42, 0.983, 1.824, 20.562 
1497271483.159008, 0.906, 1.882, 2.720, 2.630, 64, 0.906, 1.882, 20.562 
1497271484.079036, 0.944, 1.792, 2.597, 2.449, 64, 0.944, 1.792, 20.562 
1497271484.998910, 0.912, 1.792, 2.565, 2.488, 64, 0.912, 1.792, 20.562 
1497271485.919040, 0.947, 1.782, 2.536, 2.459, 64, 0.947, 1.782, 20.562 
1497271486.839038, 1.034, 1.824, 2.575, 2.475, 64, 1.034, 1.824, 20.562 
1497271487.759190, 1.315, 1.830, 2.655, 2.485, 64, 1.315, 1.830, 20.562 
1497271488.678899, 1.034, 1.792, 2.565, 2.462, 123, 1.034, 1.792, 20.562 
1497271489.598979, 1.257, 1.830, 2.639, 2.575, 64, 1.257, 1.830, 20.562 
1497271490.519007, 0.954, 1.792, 2.581, 2.488, 64, 0.954, 1.792, 20.562 
1497271491.438877, 1.025, 1.830, 2.578, 2.488, 64, 1.025, 1.830, 20.562 
1497271492.358998, 1.044, 1.834, 2.552, 2.465, 64, 1.044, 1.834, 20.562 
1497271493.278993, 1.005, 1.792, 2.581, 2.488, 64, 1.005, 1.792, 20.562 
1497271494.198991, 0.964, 1.824, 2.620, 2.517, 64, 0.964, 1.824, 20.562 
1497271495.118978, 0.954, 1.805, 2.617, 2.527, 60, 0.954, 1.805, 20.562 
1497271496.038980, 0.922, 1.756, 2.527, 2.475, 0, 0.922, 1.756, 20.562 
1497271496.958909, 1.025, 1.814, 2.620, 2.527, 64, 1.025, 1.814, 20.562 
1497271497.878929, 1.083, 1.792, 2.546, 2.449, 64, 1.083, 1.792, 20.562 
1497271498.798867, 1.221, 1.824, 2.655, 2.527, 64, 1.221, 1.824, 20.562 
1497271499.718866, 1.131, 1.824, 2.620, 2.546, 64, 1.131, 1.824, 20.562 
1497271500.638900, 0.754, 1.795, 2.527, 2.475, 64, 0.754, 1.795, 20.562 
1497271501.558895, 1.150, 1.785, 2.552, 2.478, 64, 1.150, 1.785, 20.562 
1497271502.478866, 1.083, 1.830, 2.623, 2.536, 64, 1.083, 1.830, 20.562 
1497271503.398865, 1.034, 1.805, 2.597, 2.527, 64, 1.034, 1.805, 20.562 
1497271504.318867, 1.289, 1.830, 2.630, 2.510, 64, 1.289, 1.830, 20.562 
1497271505.238859, 1.334, 1.830, 2.639, 2.530, 64, 1.334, 1.830, 20.562 
1497271506.158883, 0.915, 1.814, 2.630, 2.536, 64, 0.915, 1.814, 20.562 
1497271507.079005, 1.005, 1.830, 2.630, 2.504, 64, 1.005, 1.830, 20.562 
1497271507.998982, 0.973, 1.824, 2.681, 2.562, 64, 0.973, 1.824, 20.562 
1497271508.918989, 1.076, 1.827, 2.630, 2.527, 64, 1.076, 1.827, 20.562 
1497271509.838962, 1.373, 1.814, 2.617, 2.527, 42, 1.373, 1.814, 20.562 
1497271510.758940, 0.822, 1.763, 2.552, 2.436, 72, 0.822, 1.763, 20.562 
1497271511.679012, 1.441, 1.792, 2.552, 2.491, 72, 1.441, 1.792, 20.562 
1497271512.598894, 1.051, 1.795, 2.588, 2.462, 72, 1.051, 1.795, 20.562 
1497271513.518856, 1.131, 1.805, 2.546, 2.459, 72, 1.131, 1.805, 20.562 
1497271514.438867, 1.189, 1.792, 2.581, 2.462, 72, 1.189, 1.792, 20.562 
1497271515.359003, 1.112, 1.792, 2.562, 2.452, 72, 1.112, 1.792, 20.562 
1497271516.278998, 1.060, 1.830, 2.575, 2.527, 72, 1.060, 1.830, 20.562 
1497271517.198965, 1.373, 1.830, 2.552, 2.462, 93, 1.373, 1.830, 20.562 
1497271518.118946, 1.257, 1.743, 2.527, 2.398, 72, 1.257, 1.743, 20.562 
1497271519.038997, 1.176, 1.830, 2.630, 2.510, 72, 1.176, 1.830, 20.562 
1497271519.958899, 1.395, 1.821, 2.617, 2.485, 72, 1.395, 1.821, 20.562 
1497271520.878858, 1.057, 1.830, 2.565, 2.498, 72, 1.057, 1.830, 20.562 
1497271521.799003, 1.615, 1.830, 2.655, 2.539, 72, 1.615, 1.830, 20.562 
1497271522.719024, 0.980, 1.830, 2.633, 2.527, 72, 0.980, 1.830, 20.562 
1497271523.638934, 1.315, 1.792, 2.597, 2.449, 1, 1.315, 1.792, 20.562 
1497271524.558983, 1.076, 1.856, 2.691, 2.591, 72, 1.076, 1.856, 20.562 
1497271525.479004, 1.360, 1.789, 2.552, 2.475, 72, 1.360, 1.789, 20.562 
1497271526.398870, 1.176, 1.830, 2.633, 2.546, 72, 1.176, 1.830, 20.562 
1497271527.318863, 1.186, 1.795, 2.565, 2.488, 72, 1.186, 1.795, 20.500 
1497271528.238889, 1.115, 1.837, 2.601, 2.514, 72, 1.115, 1.837, 20.562 
1497271529.158885, 1.366, 1.805, 2.578, 2.478, 72, 1.366, 1.805, 20.562 
1497271530.079000, 1.334, 1.837, 2.604, 2.501, 72, 1.334, 1.837, 20.562 
1497271530.998993, 1.154, 1.792, 2.588, 2.475, 72, 1.154, 1.792, 20.500 
1497271531.918979, 1.270, 1.789, 2.581, 2.498, 78, 1.270, 1.789, 20.500 
1497271532.838962, 1.022, 1.747, 2.459, 2.394, 80, 1.022, 1.747, 20.562 
1497271533.758899, 1.714, 1.789, 2.565, 2.517, 80, 1.714, 1.789, 20.500 
1497271534.679002, 1.321, 1.830, 2.597, 2.494, 80, 1.321, 1.830, 20.500 
1497271535.598877, 1.386, 1.837, 2.655, 2.465, 80, 1.386, 1.837, 20.562 
1497271536.518851, 1.305, 1.834, 2.581, 2.462, 80, 1.305, 1.834, 20.500 
1497271537.438860, 1.289, 1.830, 2.630, 2.520, 80, 1.289, 1.830, 20.562 
1497271538.358870, 1.228, 1.830, 2.617, 2.494, 80, 1.228, 1.830, 20.500 
1497271539.278997, 1.073, 1.805, 2.530, 2.465, 80, 1.073, 1.805, 20.562 
1497271540.198866, 1.250, 1.789, 2.581, 2.469, 80, 1.250, 1.789, 20.500 
1497271541.118882, 1.589, 1.789, 2.568, 2.475, 80, 1.589, 1.789, 20.562 
1497271542.038858, 1.357, 1.830, 2.630, 2.536, 80, 1.357, 1.830, 20.500 
1497271542.959023, 1.160, 1.821, 2.649, 2.520, 80, 1.160, 1.821, 20.500 
1497271543.878999, 1.244, 1.779, 2.546, 2.433, 80, 1.244, 1.779, 20.500 
1497271544.798976, 1.392, 1.814, 2.588, 2.530, 125, 1.392, 1.814, 20.500 
1497271545.718973, 1.495, 1.769, 2.539, 2.452, 80, 1.495, 1.769, 20.500 
1497271546.639003, 1.540, 1.824, 2.588, 2.488, 80, 1.540, 1.824, 20.500 
1497271547.558902, 1.354, 1.785, 2.501, 2.475, 80, 1.354, 1.785, 20.500 
1497271548.478860, 1.205, 1.805, 2.639, 2.536, 80, 1.205, 1.805, 20.562 
1497271549.399018, 1.263, 1.795, 2.588, 2.520, 80, 1.263, 1.795, 20.500 
1497271550.318941, 1.528, 1.830, 2.649, 2.465, 125, 1.528, 1.830, 20.500 
1497271551.238968, 1.299, 1.740, 2.488, 2.391, 80, 1.299, 1.740, 20.500 
1497271552.159026, 1.199, 1.824, 2.639, 2.565, 80, 1.199, 1.824, 20.500 
